,Title,Type,Company,CTC,Location,Exp
0,Business Analyst,Fresher  Job,Express Rupya,"₹ 2,00,000 - 2,10,000",Mumbai,0-2 years
1,Business Analyst,No data,Daltech Engineering Private Limited,"₹ 2,00,000",Ahmedabad,1-5 years
2,Data Operations Associate (NLP/AI),Fresher  Job,Digit88,"₹ 2,00,000 - 2,50,000",Work from home,0-1 years
3,Artificial Intelligence (AI) Associate,International,"Diffblue (St Louis, United States)","$ 4,200 - 5,100",Work from home,0-5 years
4,Business Analysis,Part time,Saurabh Enterprise,"₹ 4,00,000 - 5,00,000",Work from home,1 year
5,Business Analyst,Fresher  Job,Wavity Private Limited,"₹ 2,50,000",Work from home,0-1 years
6,Associate Data Scientist,International,"Inflectra (Clearwater, United States)","$ 4,500 - 5,500",Work from home,0-5 years
7,Junior Machine Learning Manager,International,"Exigo Business Solutions (Gladstone, United States)","₹ 3,00,000 - 4,00,000",Work from home,0-5 years
8,Business Analyst,International,"Froged (Orlando, United States)","$ 4,000 - 6,000",Work from home,0-5 years
9,Big Data Associate,International,"Cynet 360 (Denver, United States)","$ 5,000 - 6,500",Work from home,0-5 years
10,No data,No data,No data,No data,No data,No data
11,Associate Data Scientist,International,"Classter (Laguna Beach, United States)","$ 3,600 - 5,000",Work from home,0-5 years
12,Business Analyst,International,"Asset Tiger (Seattle, United States)","₹ 3,75,000 - 4,00,000",Work from home,0-5 years
13,Data Scientist,Fresher  Job,Persist Ventures,"₹ 7,00,000 - 9,00,000",Work from home,0 years
14,Artificial Intelligence (AI) Specialist,International,"Circuit Tree (Kansas City, United States)","₹ 5,00,000 - 7,50,000",Work from home,0-5 years
15,Big Data Manager,International,"IntellaQuest (Newark, United States)","$ 4,600 - 6,100",Work from home,0-5 years
16,Junior Analyst,Fresher  Job,RocSearch,"₹ 4,32,000",Noida,0-2 years
17,Co-Founder,Fresher  Job,Tescom Business Solutions,"₹ 2,00,000 - 3,00,000",Thane,0-2 years
18,Artificial Intelligence (AI) Associate,No data,SuperNova,"₹ 3,00,000 - 5,00,000",Bangalore,0-3 years
19,Data Analytics Manager,International,"Tipalti (Charlotte, United States)","₹ 3,00,000 - 4,00,000",Work from home,0-5 years
20,Associate Data Scientist/Analyst,Fresher  Job,Softsensor.ai,"₹ 5,00,000 - 6,00,000",Gurgaon,0-1 years
21,Junior AI/ML Engineer,International,"QNEXT AI (Naperville, United States)","₹ 6,00,000 - 8,00,000",Work from home,0-2 years
22,Big Data Executive,Fresher  Job,Logic Hub Services,"₹ 4,00,000 - 7,00,000",Work from home,0-1 years
23,Data Scientist,International,"LiveCare Support (Los Angeles, United States)","$ 4,000 - 6,000",Work from home,0-5 years
24,Image Labeler/Annotator India,International,"Lemon Recruiting (Zurich, Switzerland)","€ 2,970 - 3,500",Work from home,0-5 years
25,Data Manager/Analyst,Fresher  Job,Fusion Beauty,"₹ 2,00,000 - 3,00,000",Delhi,0-2 years
